date,open,close,high,low,volume,amount,amplitude,quote_change,ups_downs,turnover,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,macd,macds,macdh,lgl_macd60,lgl_first_max,lgl_first_min,lgl_first_downs_change,lgl_sec_max,lgl_sec_min,lgl_sec_downs_change
2023-03-10,10.0,9.57,10.05,9.57,268986,261658747.17,4.77,-4.97,-0.5,6.94,14.150943396226442,43.704114291355744,43.704114291355744,47.05878430643326,47.05878430643326,36.9947742612007,36.9947742612007,-0.03123795905138671,-0.044726887928061475,0.013488928876674765,0,0,0,0,0,0,0
2023-03-13,9.65,9.49,9.65,9.32,161503,152824419.05,3.45,-0.84,-0.08,4.17,14.655172413793096,34.02113366550153,34.02113366550153,42.71290075945602,42.71290075945602,16.637599477592545,16.637599477592545,-0.056794137159540625,-0.0471404428995027,-0.009653694260037926,0,0,0,0,0,0,0
2023-03-14,9.49,9.64,9.9,9.47,183244,176880924.76,4.53,1.58,0.15,4.73,27.586206896551747,31.8761580758516,31.8761580758516,39.10065319825455,39.10065319825455,17.427167831045693,17.427167831045693,-0.0645122164283567,-0.05061491867308432,-0.013897297755272375,0,0,0,0,0,0,0
2023-03-15,9.55,9.62,9.83,9.55,145684,140801200.55,2.9,-0.21,-0.02,3.76,25.86206896551715,29.871461705740117,29.871461705740117,36.024256034083066,36.024256034083066,17.56587304905422,17.56587304905422,-0.07137400465703259,-0.054766851608872076,-0.01660715304816051,0,0,0,0,0,0,0
2023-03-16,9.62,9.28,9.64,9.24,150305,141342210.88,4.16,-3.53,-0.34,3.88,3.2258064516128337,20.989576621031024,20.989576621031024,31.012696229732384,31.012696229732384,0.9433374036283055,0.9433374036283055,-0.10242886723297318,-0.0642994673181263,-0.03812939991484687,0,0,0,0,0,0,0
2023-03-17,9.34,9.43,9.56,9.29,139648,131376745.1,2.91,1.62,0.15,3.6,15.32258064516125,19.100577962407762,19.100577962407762,27.041990140624176,27.041990140624176,3.2177536059749343,3.2177536059749343,-0.11386900809167777,-0.07421355234602388,-0.03965545574565389,0,0,0,0,0,0,0
2023-03-20,9.41,9.72,9.76,9.36,236804,227999878.05,4.24,3.08,0.29,6.11,38.70967741935487,25.636944448056795,25.636944448056795,26.573641576435048,26.573641576435048,23.76355019130029,23.76355019130029,-0.098850865530828,-0.07914108531108524,-0.019709780219742762,0,0,0,0,0,0,0
2023-03-21,9.61,9.7,9.73,9.5,155388,149558776.76,2.37,-0.21,-0.02,4.01,47.91666666666662,33.063518520926735,33.063518520926735,28.736933891265608,28.736933891265608,41.71668778024899,41.71668778024899,-0.08752442216940182,-0.08081777182712425,-0.006706650342277562,0,0,0,0,0,0,0
2023-03-22,9.68,9.91,9.95,9.66,264754,260080384.73,2.99,2.16,0.21,6.83,82.716049382716,49.61436214152315,49.61436214152315,35.69607664135145,35.69607664135145,77.45093314186656,77.45093314186656,-0.06118473658228574,-0.07689112891068747,0.015706392328401736,0,0,0,0,0,0,0
2023-03-23,9.87,9.85,9.9,9.74,161997,159044211.35,1.61,-0.61,-0.06,4.18,85.91549295774651,61.714739080264266,61.714739080264266,44.368964120989055,44.368964120989055,96.40628899881467,96.40628899881467,-0.04456544155825526,-0.0704259441958108,0.025860502637555544,0,0,0,0,0,0,0
2023-03-24,9.86,10.13,10.19,9.72,355748,355116426.42,4.77,2.84,0.28,9.18,93.68421052631591,72.37122956228147,72.37122956228147,53.703052601419856,53.703052601419856,109.70758348400469,109.70758348400469,-0.009027336572200895,-0.058146150883336696,0.0491188143111358,0,0,0,0,0,0,0
2023-03-27,10.1,9.99,10.19,9.86,224258,224089484.72,3.26,-1.38,-0.14,5.79,78.94736842105269,74.56327584853854,74.56327584853854,60.65646035045941,60.65646035045941,102.3769068446968,102.3769068446968,0.007895681207285676,-0.044937722691966046,0.05283340389925172,0,0,0,0,0,0,0
2023-03-28,9.99,9.66,10.01,9.63,179051,174847665.56,3.8,-3.3,-0.33,4.62,44.2105263157895,64.44569267095552,64.44569267095552,61.91953779062478,61.91953779062478,69.49800243161702,69.49800243161702,-0.004934466628011336,-0.0369370415450731,0.032002574917061766,0,0,0,0,0,0,0
2023-03-29,9.66,9.65,9.76,9.48,131638,126780300.5,2.9,-0.1,-0.01,3.4,40.00000000000012,56.29712844730372,56.29712844730372,60.04540134285109,60.04540134285109,48.800582656208974,48.800582656208974,-0.015717014876553748,-0.03269302350836393,0.01697600863181018,0,0,0,0,0,0,0
2023-03-30,9.6,9.53,9.64,9.35,122073,116009098.63,3.01,-1.24,-0.12,3.15,21.4285714285714,44.67427610772628,44.67427610772628,54.92169293114282,54.92169293114282,24.179442460893185,24.179442460893185,-0.03345434111575685,-0.03284528739444208,-0.0006090537213147701,0,0,0,0,0,0,0
2023-03-31,9.52,9.61,9.74,9.48,91900,88054078.78,2.73,0.84,0.08,2.37,30.95238095238093,40.100311055944495,40.100311055944495,49.981232306076706,49.981232306076706,20.338468555680066,20.338468555680066,-0.04064872943608577,-0.03440597879246158,-0.006242750643624194,0,0,0,0,0,0,0
2023-04-03,9.61,9.78,9.78,9.49,157760,151866927.89,3.02,1.77,0.17,4.07,51.19047619047616,43.79703276745505,43.79703276745505,47.91983245986948,47.91983245986948,35.551433382626186,35.551433382626186,-0.03238388829912431,-0.034001560074024245,0.001617671774899937,0,0,0,0,0,0,0
2023-04-04,9.71,9.49,9.75,9.41,149806,143308686.04,3.48,-2.97,-0.29,3.87,16.66666666666674,34.753577400525614,34.753577400525614,43.53108077342152,43.53108077342152,17.1985706547338,17.1985706547338,-0.04847715004421005,-0.036896681617470097,-0.011580468426739952,0,0,0,0,0,0,0
2023-04-06,9.45,9.37,9.45,9.32,96043,90029093.55,1.37,-1.26,-0.12,2.48,5.747126436781492,25.084760412610905,25.084760412610905,37.38230731981798,37.38230731981798,0.48966659819674874,0.48966659819674874,-0.0700286168668054,-0.043523075166485035,-0.026505541700320358,0,0,0,0,0,0,0
2023-04-07,9.37,9.54,9.58,9.34,98263,93470004.17,2.56,1.81,0.17,2.54,25.28735632183897,25.152292382353593,25.152292382353593,33.30563567399652,33.30563567399652,8.84560579906774,8.84560579906774,-0.07265051085300023,-0.04934856687468858,-0.023301943978311646,0,0,0,0,0,0,0
2023-04-10,9.54,9.2,9.57,9.19,133926,124779205.89,3.98,-3.56,-0.34,3.46,1.2195121951219248,17.174698986609705,17.174698986609705,27.928656778200914,27.928656778200914,-4.333216596572711,-4.333216596572711,-0.10081522432242096,-0.059641904825468,-0.04117331949695296,0,0,0,0,0,0,0
2023-04-11,9.19,8.91,9.21,8.85,139381,125202730.83,3.91,-3.15,-0.29,3.6,6.451612903225862,13.600336958815092,13.600336958815092,23.152550171738973,23.152550171738973,-5.504089467032671,-5.504089467032671,-0.1447190442199915,-0.07665734124898274,-0.06806170297100875,0,0,0,0,0,0,0
2023-04-12,8.91,9.0,9.01,8.85,86625,77521417.01,1.8,1.01,0.09,2.24,16.12903225806456,14.443235391898245,14.443235391898245,20.249445245125397,20.249445245125397,2.8308156854439446,2.8308156854439446,-0.17032517161093708,-0.09539091484729664,-0.07493425676364043,0,0,0,0,0,0,0
2023-04-13,9.01,8.73,9.01,8.73,74168,65756773.59,3.11,-3.0,-0.27,1.91,0.0,9.62882359459883,9.62882359459883,16.70923802828321,16.70923802828321,-4.532005272769929,-4.532005272769929,-0.2098658996746945,-0.11828591917094691,-0.09157998050374758,0,0,0,0,0,0,0
